Version: Taxi Continuous/Discontinuous v4.1.9728.17830
TriggerVersion: v4
TaskType: Discontinuous
MazeName: DTL Cam
NumberOfTrials: 1
PosterLocations: 
CompletionWindow: 60000
TimeoutDuration: 1000
IntersessionInterval: 1000
RewardTime: 1000
RewardViewCriteria: 45
RotationSpeed: 104.3681
MovementSpeed: 5
JoystickDeadzone: 0
AngleRestrictionAmount: 0
RequiredDistance: 1
ProximityDistance: 1
DirectionErrorDistance: 0.5
isJoystickEnabled: False
isReverseEnabled: True
isForwardEnabled: True
isRightEnabled: True
isLeftEnabled: True
isYInverted: False
isXInverted: False
RestartOnTrialFail: True
ResetPositionOnTrial: True
FaceRandomDirectionOnStart: False
MultipleWaypoints: False
DisableInterSessionBlackout: True
ResetPositionOnSession: False
EnableDirectionError: False
DisableHint: False
EnableRewardAreaError: False
RewardAreaErrorTime: -1
--- Start of Dataset --- 

 0 0.01706090 0.0000 -10.8464 0.0004
 0 0.11597610 0.0000 -10.8464 0.0004
 0 0.33333330 0.0000 -10.8464 0.0004
 0 0.05049890 0.0000 -10.8464 0.0004
 0 0.06088140 0.0000 -10.8464 0.0004
 0 0.02191390 0.0000 -10.8464 0.0004
 84 0.02191390 -12.8900 0.0600 90.0000
 0 0.02191390 -12.8900 0.0600 90.0000
 0 0.02000000 -12.8900 0.0600 90.0000
 0 0.04459770 -12.8900 0.0600 90.0000
 0 0.02140090 -12.8900 0.0600 90.0000
 0 0.02185950 -12.8900 0.0600 90.0000
 0 0.02380710 -12.8900 0.0600 90.0000
 0 0.02277230 -12.8900 0.0600 90.0000
 0 0.02685790 -12.8900 0.0600 90.0000
 0 0.02388920 -12.8900 0.0600 90.0000
 0 0.02414920 -12.8900 0.0600 90.0000
 0 0.02465000 -12.8900 0.0600 90.0000
 0 0.02773490 -12.8900 0.0600 90.0000
 0 0.02311900 -12.8900 0.0600 90.0000
 0 0.02722720 -12.8900 0.0600 90.0000
 0 0.02132230 -12.8900 0.0600 90.0000
 0 0.01763940 -12.8900 0.0600 90.0000
 0 0.01639810 -12.8900 0.0600 90.0000
 0 0.01567810 -12.8900 0.0600 90.0000
 0 0.01367700 -12.8900 0.0600 90.0000
 0 0.01254540 -12.8900 0.0600 90.0000
 0 0.01478110 -12.8900 0.0600 90.0000
 0 0.01154340 -12.8900 0.0600 90.0000
 0 0.01506390 -12.8900 0.0600 90.0000
 0 0.01593140 -12.8900 0.0600 90.0000
 0 0.01041440 -12.8900 0.0600 90.0000
 0 0.01525360 -12.8900 0.0600 90.0000
 0 0.01500790 -12.8900 0.0600 90.0000
 0 0.01509400 -12.8900 0.0600 90.0000
 0 0.01294190 -12.8900 0.0600 90.0000
 0 0.01501790 -12.8900 0.0600 90.0000
 0 0.01505930 -12.8900 0.0600 90.0000
 0 0.01492860 -12.8900 0.0600 90.0000
 0 0.01474180 -12.8900 0.0600 90.0000
 0 0.01460620 -12.8900 0.0600 90.0000
 0 0.01570420 -12.8900 0.0600 90.0000
 0 0.01532530 -12.8900 0.0600 90.0000
 0 0.01509490 -12.8900 0.0600 90.0000
 0 0.01626750 -12.8900 0.0600 90.0000
 0 0.02609150 -12.8900 0.0600 90.0000
 0 0.02106970 -12.8900 0.0600 90.0000
 0 0.01906950 -12.8900 0.0600 90.0000
 0 0.01923260 -12.8900 0.0600 90.0000
 0 0.02168330 -12.8900 0.0600 90.0000
 0 0.02183620 -12.8900 0.0600 90.0000
 0 0.01847490 -12.8900 0.0600 90.0000
 0 0.01756830 -12.8900 0.0600 90.0000
 0 0.01736980 -12.8900 0.0600 90.0000
 0 0.01718690 -12.8900 0.0600 90.0000
 0 0.01647840 -12.8900 0.0600 90.0000
