Version: Taxi Continuous/Discontinuous v4.1.9723.39829
TriggerVersion: v4
TaskType: Discontinuous
MazeName: DTL Cam
NumberOfTrials: 1
PosterLocations: 
CompletionWindow: 60000
TimeoutDuration: 3000
IntersessionInterval: 1000
RewardTime: 1000
RewardViewCriteria: 45
RotationSpeed: 104.5476
MovementSpeed: 5
JoystickDeadzone: 0
AngleRestrictionAmount: 0
RequiredDistance: 1
ProximityDistance: 1
DirectionErrorDistance: 0.5
isJoystickEnabled: False
isReverseEnabled: True
isForwardEnabled: True
isRightEnabled: True
isLeftEnabled: True
isYInverted: False
isXInverted: False
RestartOnTrialFail: True
ResetPositionOnTrial: True
FaceRandomDirectionOnStart: False
MultipleWaypoints: False
DisableInterSessionBlackout: True
ResetPositionOnSession: False
EnableDirectionError: False
DisableHint: False
EnableRewardAreaError: False
RewardAreaErrorTime: -1
--- Start of Dataset --- 
 0 0.01587830 -12.8900 0.0600 90.0000
 0 0.01888690 -12.8900 0.0600 90.0000
 0 0.01671730 -12.8900 0.0600 90.0000
 0 0.01458760 -12.8900 0.0600 90.0000
 0 0.01746400 -12.8900 0.0600 90.0000
 0 0.01598250 -12.8900 0.0600 90.0000
 0 0.01678010 -12.8900 0.0600 90.0000
 0 0.01874170 -12.8900 0.0600 90.0000
 0 0.01443290 -12.8900 0.0600 90.0000
 0 0.01926100 -12.8900 0.0600 90.0000
 0 0.01532810 -12.8900 0.0600 90.0000
 0 0.01738040 -12.8900 0.0600 90.0000
 0 0.01659740 -12.8900 0.0600 90.0000
 0 0.01877940 -12.8900 0.0600 90.0000
 0 0.01670500 -12.8900 0.0600 90.0000
 0 0.01764820 -12.8900 0.0600 90.0000
 0 0.01610620 -12.8900 0.0600 90.0000
 0 0.01780880 -12.8900 0.0600 90.0000
 0 0.01618950 -12.8900 0.0600 90.0000
 0 0.01598180 -12.8900 0.0600 90.0000
 0 0.01692200 -12.8900 0.0600 90.0000
 0 0.01705260 -12.8900 0.0600 90.0000
 0 0.01579000 -12.8900 0.0600 90.0000
 0 0.01582390 -12.8900 0.0600 90.0000
 0 0.01528040 -12.8900 0.0600 90.0000
 0 0.01877550 -12.8900 0.0600 90.0000
 0 0.01610620 -12.8900 0.0600 90.0000
 0 0.01665990 -12.8900 0.0600 90.0000
 0 0.01450060 -12.8900 0.0600 90.0000
 0 0.01888200 -12.8900 0.0600 90.0000
 0 0.01513370 -12.8900 0.0600 90.0000
 0 0.01847530 -12.8900 0.0600 90.0000
 0 0.01685640 -12.8900 0.0600 90.0000
 0 0.01464570 -12.8900 0.0600 90.0000
 0 0.01857500 -12.8900 0.0600 90.0000
 0 0.01472000 -12.8900 0.0600 90.0000
 0 0.01814490 -12.8900 0.0600 90.0000
 0 0.01399820 -12.8900 0.0600 90.0000
 0 0.01863510 -12.8900 0.0600 90.0000
 0 0.01700240 -12.8900 0.0600 90.0000
 0 0.01575400 -12.8900 0.0600 90.0000
 0 0.01697860 -12.8900 0.0600 90.0000
 0 0.02078590 -12.8900 0.0600 90.0000
 0 0.01022930 -12.8900 0.0600 90.0000
 0 0.01696630 -12.8900 0.0600 90.0000
 0 0.01676680 -12.8900 0.0600 90.0000
 0 0.01671210 -12.8900 0.0600 90.0000
 0 0.01637650 -12.8900 0.0600 90.0000
 0 0.01677690 -12.8900 0.0600 90.0000
 0 0.01620210 -12.8900 0.0600 90.0000
 0 0.01920860 -12.8900 0.0600 90.0000
 0 0.01849020 -12.8900 0.0600 90.0000
 0 0.01587860 -12.8900 0.0600 90.0000
 0 0.01732550 -12.8900 0.0600 90.0000
 0 0.01691030 -12.8900 0.0600 90.0000
 0 0.01671340 -12.8900 0.0600 90.0000
 0 0.01529910 -12.8900 0.0600 90.0000
