Version: Taxi Continuous/Discontinuous v4.1.9723.39829
TriggerVersion: v4
TaskType: Discontinuous
MazeName: DTL Cam
NumberOfTrials: 1
PosterLocations: 
name: Poster
posterPosition: (-7.567, 1.5, 4.975)
CompletionWindow: 60000
TimeoutDuration: 3000
IntersessionInterval: 1000
RewardTime: 1000
RewardViewCriteria: 45
RotationSpeed: 104.5476
MovementSpeed: 5
JoystickDeadzone: 0
AngleRestrictionAmount: 0
RequiredDistance: 1
ProximityDistance: 1
DirectionErrorDistance: 0.5
isJoystickEnabled: False
isReverseEnabled: True
isForwardEnabled: True
isRightEnabled: True
isLeftEnabled: True
isYInverted: False
isXInverted: False
RestartOnTrialFail: True
ResetPositionOnTrial: True
FaceRandomDirectionOnStart: False
MultipleWaypoints: False
DisableInterSessionBlackout: True
ResetPositionOnSession: False
EnableDirectionError: False
DisableHint: False
EnableRewardAreaError: False
RewardAreaErrorTime: -1
--- Start of Dataset --- 
 0 0.01893530 -12.8900 0.0600 90.0000
 0 0.01948280 -12.8900 0.0600 90.0000
 0 0.01676600 -12.8900 0.0600 90.0000
 0 0.01650270 -12.8900 0.0600 90.0000
 0 0.01490530 -12.8900 0.0600 90.0000
 0 0.01349700 -12.8900 0.0600 90.0000
 0 0.01958730 -12.8900 0.0600 90.0000
 0 0.01694480 -12.8900 0.0600 90.0000
 0 0.01661830 -12.8900 0.0600 90.0000
 0 0.01706660 -12.8900 0.0600 90.0000
 0 0.01791090 -12.8900 0.0600 90.0000
 0 0.01447150 -12.8900 0.0600 90.0000
 0 0.01781350 -12.8900 0.0600 90.0000
 0 0.01558670 -12.8900 0.0600 90.0000
 0 0.01856990 -12.8900 0.0600 90.0000
 0 0.01502230 -12.8900 0.0600 90.0000
 0 0.01840490 -12.8900 0.0600 90.0000
 0 0.01493830 -12.8900 0.0600 90.0000
 0 0.01603970 -12.8900 0.0600 90.0000
 0 0.01685520 -12.8900 0.0600 90.0000
 0 0.01719110 -12.8900 0.0600 90.0000
 0 0.01580780 -12.8900 0.0600 90.0000
 0 0.01740950 -12.8900 0.0600 90.0000
 0 0.01997460 -12.8900 0.0600 90.0000
 0 0.01576020 -12.8900 0.0600 90.0000
 0 0.01867290 -12.8900 0.0600 90.0000
 0 0.01525090 -12.8900 0.0600 90.0000
 0 0.01624340 -12.8900 0.0600 90.0000
 0 0.01544760 -12.8900 0.0600 90.0000
 0 0.01961210 -12.8900 0.0600 90.0000
 0 0.01660670 -12.8900 0.0600 90.0000
 0 0.01459630 -12.8900 0.0600 90.0000
 0 0.01558740 -12.8900 0.0600 90.0000
 0 0.01579340 -12.8900 0.0600 90.0000
 0 0.01902960 -12.8900 0.0600 90.0000
 0 0.01618750 -12.8900 0.0600 90.0000
 0 0.01618650 -12.8900 0.0600 90.0000
 0 0.02071440 -12.8900 0.0600 90.0000
 0 0.01221110 -12.8900 0.0600 90.0000
 0 0.01643330 -12.8900 0.0600 90.0000
 0 0.01504170 -12.8900 0.0600 90.0000
 0 0.01681210 -12.8900 0.0600 90.0000
 0 0.01622620 -12.8900 0.0600 90.0000
 0 0.01680710 -12.8900 0.0600 90.0000
 0 0.01558930 -12.8900 0.0600 90.0000
 0 0.01773120 -12.8900 0.0600 90.0000
