Version: Taxi Continuous/Discontinuous v4.1.9723.39829
TriggerVersion: v4
TaskType: Discontinuous
MazeName: DTL Cam
NumberOfTrials: 10
PosterLocations: 
name: Poster
posterPosition: (-7.567, 1.5, 4.975)
CompletionWindow: 60000
TimeoutDuration: 3000
IntersessionInterval: 1000
RewardTime: 1000
RewardViewCriteria: 45
RotationSpeed: 104.5476
MovementSpeed: 5
JoystickDeadzone: 0
AngleRestrictionAmount: 0
RequiredDistance: 1
ProximityDistance: 1
DirectionErrorDistance: 0.5
isJoystickEnabled: False
isReverseEnabled: True
isForwardEnabled: True
isRightEnabled: True
isLeftEnabled: True
isYInverted: False
isXInverted: False
RestartOnTrialFail: True
ResetPositionOnTrial: True
FaceRandomDirectionOnStart: False
MultipleWaypoints: False
DisableInterSessionBlackout: True
ResetPositionOnSession: False
EnableDirectionError: False
DisableHint: False
EnableRewardAreaError: False
RewardAreaErrorTime: -1
--- Start of Dataset --- 

 0 0.01557590 -8.5168 5.2164 116.7932
 0 0.01547480 -8.5168 5.2164 116.7932
 0 0.01811210 -8.5168 5.2164 116.7932
 0 0.01665680 -8.5168 5.2164 116.7932
 84 0.01665680 -12.8900 0.0600 90.0000
 0 0.01665680 -12.8900 0.0600 90.0000
 0 0.02000000 -12.8900 0.0600 90.0000
 0 0.01229110 -12.8900 0.0600 90.0000
 0 0.01776090 -12.8900 0.0600 90.0000
 0 0.01629270 -12.8900 0.0600 90.0000
 0 0.01777740 -12.8900 0.0600 90.0000
 0 0.01680960 -12.8900 0.0600 90.0000
 0 0.01655490 -12.8900 0.0600 90.0000
 0 0.01735950 -12.8900 0.0600 90.0000
 0 0.01685690 -12.8900 0.0600 90.0000
 0 0.01624620 -12.8900 0.0600 90.0000
 0 0.01717290 -12.8900 0.0600 90.0000
 0 0.01503230 -12.8900 0.0600 90.0000
 0 0.01679500 -12.8900 0.0600 90.0000
 0 0.01764920 -12.8900 0.0600 90.0000
 0 0.01269090 -12.8900 0.0600 90.0000
 0 0.01684730 -12.8900 0.0600 90.0000
 0 0.01863510 -12.8900 0.0600 90.0000
 0 0.01717500 -12.8900 0.0600 90.0000
 0 0.01631380 -12.8900 0.0600 90.0000
 0 0.01697080 -12.8900 0.0600 90.0000
 0 0.01688420 -12.8900 0.0600 90.0000
 0 0.01664560 -12.8900 0.0600 90.0000
 0 0.01654290 -12.8900 0.0600 90.0000
 0 0.01644460 -12.8900 0.0600 90.0000
 0 0.01646960 -12.8900 0.0600 90.0000
 0 0.01463250 -12.8900 0.0600 90.0000
 0 0.01535730 -12.8900 0.0600 90.0000
 0 0.01759620 -12.8900 0.0600 90.0000
 0 0.01715440 -12.8900 0.0600 90.0000
 0 0.01689620 -12.8900 0.0600 90.0000
 0 0.01710320 -12.8900 0.0600 90.0000
 0 0.01591840 -12.8900 0.0600 90.0000
 0 0.01755700 -12.8900 0.0600 90.0000
 0 0.01664220 -12.8900 0.0600 90.0000
 0 0.01941530 -12.8900 0.0600 90.0000
 0 0.01604830 -12.8900 0.0600 90.0000
 0 0.01695530 -12.8900 0.0600 90.0000
 0 0.01612180 -12.8900 0.0600 90.0000
